sid,cid,jing,wei,price,mid
s_3399,c_2,114.436093,23.560282,60,m_4459
s_4228,c_36,114.43773200000001,23.559639,50,m_4459
s_5041,c_43,114.436866,23.559348999999997,64,m_4459
s_8081,c_29,114.43763500000001,23.559635999999998,50,m_4459
s_13513,c_49,114.43666699999999,23.558987,60,m_4459
s_59576,c_36,114.43638600000001,23.560864000000002,62,m_4459
s_60813,c_27,114.436599,23.559234,47,m_4459
s_83428,c_53,114.436399,23.560862,56,m_4459
s_195436,c_13,114.43670800000001,23.559027,54,m_4459
s_249281,c_53,114.43613899999998,23.560373000000002,62,m_4459
s_252918,c_49,114.436163,23.558732,65,m_4459
s_266793,c_53,114.436631,23.559819,54,m_4459
s_267069,c_27,114.43758899999999,23.559051999999998,44,m_4459
s_270092,c_34,114.436631,23.559819,40,m_4459
s_271995,c_38,114.436196,23.558775,47,m_4459
s_284588,c_36,114.43658500000001,23.558026,52,m_4459
s_287686,c_34,114.43623999999998,23.558645000000002,40,m_4459
s_288356,c_28,114.43691499999998,23.558664,47,m_4459
s_289252,c_39,114.435561,23.559804999999997,55,m_4459
s_301314,c_26,114.43603799999998,23.558997,44,m_4459
s_317350,c_39,114.43607800000001,23.560520999999998,62,m_4459
s_352426,c_38,114.436971,23.558383,40,m_4459
s_378743,c_38,114.436815,23.558438,47,m_4459
s_390874,c_50,114.437082,23.559356,64,m_4459
s_397569,c_2,114.436371,23.560873,64,m_4459
s_412057,c_29,114.43588799999999,23.559985,41,m_4459
s_417479,c_53,114.43721599999999,23.559418,57,m_4459
s_426185,c_11,114.436631,23.559819,53,m_4459
s_429850,c_49,114.436663,23.559664,63,m_4459
s_429890,c_39,114.43593700000001,23.559334,55,m_4459
s_447915,c_27,114.43558700000001,23.559573,36,m_4459
s_454171,c_53,114.43781000000001,23.559572,50,m_4459
s_461558,c_38,114.435533,23.559542999999998,40,m_4459
s_473535,c_50,114.43697,23.558362,64,m_4459
s_476966,c_50,114.43775,23.55971,54,m_4459
s_480334,c_28,114.43656100000001,23.55935,44,m_4459
s_492790,c_28,114.435953,23.559134,43,m_4459
s_501451,c_30,114.43603700000001,23.559002,35,m_4459
s_529895,c_28,114.43656899999999,23.558382,47,m_4459
s_545313,c_49,114.43691100000001,23.559718,55,m_4459
s_553880,c_46,114.43635400000001,23.558138,54,m_4459
s_567432,c_24,114.436601,23.558021,65,m_4459
s_569679,c_38,114.43616899999999,23.55878,40,m_4459
s_627795,c_38,114.437475,23.559068,46,m_4459
s_635063,c_50,114.434855,23.559620000000002,57,m_4459
s_649506,c_49,114.43602,23.559044,62,m_4459
s_672697,c_39,114.43688799999998,23.559389000000003,65,m_4459
s_691387,c_50,114.43678500000001,23.559163,62,m_4459
s_751035,c_14,114.43600900000001,23.559376,50,m_4459
s_839278,c_56,114.43682,23.559468,58,m_4459
s_869303,c_24,114.43634499999999,23.558589,57,m_4459
s_1033403,c_36,114.435787,23.559559,51,m_4459
s_1099827,c_38,114.437607,23.559002,57,m_4459
s_1133951,c_12,114.43675,23.559960999999998,66,m_4459
s_1154200,c_15,114.43535700000001,23.559867999999998,67,m_4459
s_1331326,c_14,114.437302,23.558928,53,m_4459
s_1400552,c_1,114.43678500000001,23.559163,58,m_4459
s_1456580,c_2,114.435891,23.559876000000003,61,m_4459
s_1859519,c_49,114.436392,23.559728,55,m_4459
s_1870370,c_38,114.436691,23.558429,48,m_4459
s_1879187,c_30,114.436578,23.559438,44,m_4459
s_1960620,c_14,114.435682,23.559447,45,m_4459
s_1975493,c_38,114.436578,23.559438,45,m_4459
s_2004846,c_27,114.436085,23.558984,35,m_4459
s_2072770,c_38,114.43656599999998,23.558513,42,m_4459
s_2577825,c_24,114.43583600000001,23.560653,65,m_4459
s_2737905,c_11,114.436227,23.559946,63,m_4459
s_2785606,c_24,114.436178,23.559301,57,m_4459
s_2840330,c_49,114.436191,23.558764,60,m_4459
s_2843399,c_62,114.43621499999999,23.557551999999998,40,m_4459
s_2889598,c_38,114.43735600000001,23.558975,53,m_4459
s_2910446,c_49,114.436153,23.558772,60,m_4459
s_3055108,c_28,114.43613300000001,23.559009,40,m_4459
s_3442627,c_34,114.43619199999999,23.560497,34,m_4459
s_3457827,c_34,114.43616899999999,23.558809,42,m_4459
s_3595309,c_14,114.43632,23.558730999999998,48,m_4459
s_3661081,c_1,114.43781000000001,23.559173,56,m_4459
s_3698000,c_33,114.436144,23.558628,47,m_4459
s_3704217,c_50,114.435895,23.559215,62,m_4459
s_3737771,c_15,114.43645,23.558387,60,m_4459
s_3785784,c_15,114.435678,23.559164000000003,54,m_4459
s_3891213,c_56,114.43531899999999,23.560152,61,m_4459
s_4058937,c_43,114.43586100000002,23.559319,59,m_4459
